demojized,description
:call_me_hand_medium-light_skin_tone:,"call, call me hand, hand, hang loose, medium-light skin tone, Shaka, call, me, hand:, medium-light, skin, tone"
:call_me_hand_medium_skin_tone:,"call, call me hand, hand, hang loose, medium skin tone, Shaka, call, me, hand:, medium, skin, tone"
:call_me_hand_medium-dark_skin_tone:,"call, call me hand, hand, hang loose, medium-dark skin tone, Shaka, call, me, hand:, medium-dark, skin, tone"
:call_me_hand_dark_skin_tone:,"call, call me hand, dark skin tone, hand, hang loose, Shaka, call, me, hand:, dark, skin, tone"
:backhand_index_pointing_left:,"backhand, backhand index pointing left, finger, hand, index, point, backhand, index, pointing, left"
:backhand_index_pointing_left_light_skin_tone:,"backhand, backhand index pointing left, finger, hand, index, light skin tone, point, backhand, index, pointing, left:, light, skin, tone"
:backhand_index_pointing_left_medium-light_skin_tone:,"backhand, backhand index pointing left, finger, hand, index, medium-light skin tone, point, backhand, index, pointing, left:, medium-light, skin, tone"
:backhand_index_pointing_left_medium_skin_tone:,"backhand, backhand index pointing left, finger, hand, index, medium skin tone, point, backhand, index, pointing, left:, medium, skin, tone"
:backhand_index_pointing_left_medium-dark_skin_tone:,"backhand, backhand index pointing left, finger, hand, index, medium-dark skin tone, point, backhand, index, pointing, left:, medium-dark, skin, tone"
:backhand_index_pointing_left_dark_skin_tone:,"backhand, backhand index pointing left, dark skin tone, finger, hand, index, point, backhand, index, pointing, left:, dark, skin, tone"
:backhand_index_pointing_right:,"backhand, backhand index pointing right, finger, hand, index, point, backhand, index, pointing, right"
:backhand_index_pointing_right_light_skin_tone:,"backhand, backhand index pointing right, finger, hand, index, light skin tone, point, backhand, index, pointing, right:, light, skin, tone"
:backhand_index_pointing_right_medium-light_skin_tone:,"backhand, backhand index pointing right, finger, hand, index, medium-light skin tone, point, backhand, index, pointing, right:, medium-light, skin, tone"
:backhand_index_pointing_right_medium_skin_tone:,"backhand, backhand index pointing right, finger, hand, index, medium skin tone, point, backhand, index, pointing, right:, medium, skin, tone"
:backhand_index_pointing_right_medium-dark_skin_tone:,"backhand, backhand index pointing right, finger, hand, index, medium-dark skin tone, point, backhand, index, pointing, right:, medium-dark, skin, tone"
:backhand_index_pointing_right_dark_skin_tone:,"backhand, backhand index pointing right, dark skin tone, finger, hand, index, point, backhand, index, pointing, right:, dark, skin, tone"
:backhand_index_pointing_up:,"backhand, backhand index pointing up, finger, hand, point, up, backhand, index, pointing, up"
:backhand_index_pointing_up_light_skin_tone:,"backhand, backhand index pointing up, finger, hand, light skin tone, point, up, backhand, index, pointing, up:, light, skin, tone"
:backhand_index_pointing_up_medium-light_skin_tone:,"backhand, backhand index pointing up, finger, hand, medium-light skin tone, point, up, backhand, index, pointing, up:, medium-light, skin, tone"
:backhand_index_pointing_up_medium_skin_tone:,"backhand, backhand index pointing up, finger, hand, medium skin tone, point, up, backhand, index, pointing, up:, medium, skin, tone"
:backhand_index_pointing_up_medium-dark_skin_tone:,"backhand, backhand index pointing up, finger, hand, medium-dark skin tone, point, up, backhand, index, pointing, up:, medium-dark, skin, tone"
:backhand_index_pointing_up_dark_skin_tone:,"backhand, backhand index pointing up, dark skin tone, finger, hand, point, up, backhand, index, pointing, up:, dark, skin, tone"
:middle_finger:,"finger, hand, middle finger, middle, finger"
:middle_finger_light_skin_tone:,"finger, hand, light skin tone, middle finger, middle, finger:, light, skin, tone"
:middle_finger_medium-light_skin_tone:,"finger, hand, medium-light skin tone, middle finger, middle, finger:, medium-light, skin, tone"
:middle_finger_medium_skin_tone:,"finger, hand, medium skin tone, middle finger, middle, finger:, medium, skin, tone"
:middle_finger_medium-dark_skin_tone:,"finger, hand, medium-dark skin tone, middle finger, middle, finger:, medium-dark, skin, tone"
:middle_finger_dark_skin_tone:,"dark skin tone, finger, hand, middle finger, middle, finger:, dark, skin, tone"
:backhand_index_pointing_down:,"backhand, backhand index pointing down, down, finger, hand, point, backhand, index, pointing, down"
:backhand_index_pointing_down_light_skin_tone:,"backhand, backhand index pointing down, down, finger, hand, light skin tone, point, backhand, index, pointing, down:, light, skin, tone"
:backhand_index_pointing_down_medium-light_skin_tone:,"backhand, backhand index pointing down, down, finger, hand, medium-light skin tone, point, backhand, index, pointing, down:, medium-light, skin, tone"
:backhand_index_pointing_down_medium_skin_tone:,"backhand, backhand index pointing down, down, finger, hand, medium skin tone, point, backhand, index, pointing, down:, medium, skin, tone"
:backhand_index_pointing_down_medium-dark_skin_tone:,"backhand, backhand index pointing down, down, finger, hand, medium-dark skin tone, point, backhand, index, pointing, down:, medium-dark, skin, tone"
:backhand_index_pointing_down_dark_skin_tone:,"backhand, backhand index pointing down, dark skin tone, down, finger, hand, point, backhand, index, pointing, down:, dark, skin, tone"
:index_pointing_up:,"finger, hand, index, index pointing up, point, up, index, pointing, up"
:index_pointing_up_light_skin_tone:,"finger, hand, index, index pointing up, light skin tone, point, up, index, pointing, up:, light, skin, tone"
:index_pointing_up_medium-light_skin_tone:,"finger, hand, index, index pointing up, medium-light skin tone, point, up, index, pointing, up:, medium-light, skin, tone"
:index_pointing_up_medium_skin_tone:,"finger, hand, index, index pointing up, medium skin tone, point, up, index, pointing, up:, medium, skin, tone"
:index_pointing_up_medium-dark_skin_tone:,"finger, hand, index, index pointing up, medium-dark skin tone, point, up, index, pointing, up:, medium-dark, skin, tone"
:index_pointing_up_dark_skin_tone:,"dark skin tone, finger, hand, index, index pointing up, point, up, index, pointing, up:, dark, skin, tone"
:index_pointing_at_the_viewer:,"index pointing at the viewer, point, you, index, pointing, at, the, viewer"
:index_pointing_at_the_viewer_light_skin_tone:,"index pointing at the viewer, light skin tone, point, you, index, pointing, at, the, viewer:, light, skin, tone"
:index_pointing_at_the_viewer_medium-light_skin_tone:,"index pointing at the viewer, medium-light skin tone, point, you, index, pointing, at, the, viewer:, medium-light, skin, tone"
:index_pointing_at_the_viewer_medium_skin_tone:,"index pointing at the viewer, medium skin tone, point, you, index, pointing, at, the, viewer:, medium, skin, tone"
:index_pointing_at_the_viewer_medium-dark_skin_tone:,"index pointing at the viewer, medium-dark skin tone, point, you, index, pointing, at, the, viewer:, medium-dark, skin, tone"
:index_pointing_at_the_viewer_dark_skin_tone:,"dark skin tone, index pointing at the viewer, point, you, index, pointing, at, the, viewer:, dark, skin, tone"
:thumbs_up:,"+1, hand, thumb, thumbs up, up, thumbs, up"
:thumbs_up_light_skin_tone:,"+1, hand, light skin tone, thumb, thumbs up, up, thumbs, up:, light, skin, tone"
:thumbs_up_medium-light_skin_tone:,"+1, hand, medium-light skin tone, thumb, thumbs up, up, thumbs, up:, medium-light, skin, tone"
:thumbs_up_medium_skin_tone:,"+1, hand, medium skin tone, thumb, thumbs up, up, thumbs, up:, medium, skin, tone"
:thumbs_up_medium-dark_skin_tone:,"+1, hand, medium-dark skin tone, thumb, thumbs up, up, thumbs, up:, medium-dark, skin, tone"
:thumbs_up_dark_skin_tone:,"+1, dark skin tone, hand, thumb, thumbs up, up, thumbs, up:, dark, skin, tone"
:thumbs_down:,"-1, down, hand, thumb, thumbs down, thumbs, down"
:thumbs_down_light_skin_tone:,"-1, down, hand, light skin tone, thumb, thumbs down, thumbs, down:, light, skin, tone"
:thumbs_down_medium-light_skin_tone:,"-1, down, hand, medium-light skin tone, thumb, thumbs down, thumbs, down:, medium-light, skin, tone"
:thumbs_down_medium_skin_tone:,"-1, down, hand, medium skin tone, thumb, thumbs down, thumbs, down:, medium, skin, tone"
:thumbs_down_medium-dark_skin_tone:,"-1, down, hand, medium-dark skin tone, thumb, thumbs down, thumbs, down:, medium-dark, skin, tone"
:thumbs_down_dark_skin_tone:,"-1, dark skin tone, down, hand, thumb, thumbs down, thumbs, down:, dark, skin, tone"
:raised_fist:,"clenched, fist, hand, punch, raised fist, raised, fist"
:raised_fist_light_skin_tone:,"clenched, fist, hand, light skin tone, punch, raised fist, raised, fist:, light, skin, tone"
:raised_fist_medium-light_skin_tone:,"clenched, fist, hand, medium-light skin tone, punch, raised fist, raised, fist:, medium-light, skin, tone"
:raised_fist_medium_skin_tone:,"clenched, fist, hand, medium skin tone, punch, raised fist, raised, fist:, medium, skin, tone"
:raised_fist_medium-dark_skin_tone:,"clenched, fist, hand, medium-dark skin tone, punch, raised fist, raised, fist:, medium-dark, skin, tone"
:raised_fist_dark_skin_tone:,"clenched, dark skin tone, fist, hand, punch, raised fist, raised, fist:, dark, skin, tone"
:oncoming_fist:,"clenched, fist, hand, oncoming fist, punch, oncoming, fist"
:oncoming_fist_light_skin_tone:,"clenched, fist, hand, light skin tone, oncoming fist, punch, oncoming, fist:, light, skin, tone"
:oncoming_fist_medium-light_skin_tone:,"clenched, fist, hand, medium-light skin tone, oncoming fist, punch, oncoming, fist:, medium-light, skin, tone"
:oncoming_fist_medium_skin_tone:,"clenched, fist, hand, medium skin tone, oncoming fist, punch, oncoming, fist:, medium, skin, tone"
:oncoming_fist_medium-dark_skin_tone:,"clenched, fist, hand, medium-dark skin tone, oncoming fist, punch, oncoming, fist:, medium-dark, skin, tone"
:oncoming_fist_dark_skin_tone:,"clenched, dark skin tone, fist, hand, oncoming fist, punch, oncoming, fist:, dark, skin, tone"
:left-facing_fist:,"fist, left-facing fist, leftwards, left-facing, fist"
:left-facing_fist_light_skin_tone:,"fist, left-facing fist, leftwards, light skin tone, left-facing, fist:, light, skin, tone"
:left-facing_fist_medium-light_skin_tone:,"fist, left-facing fist, leftwards, medium-light skin tone, left-facing, fist:, medium-light, skin, tone"
:left-facing_fist_medium_skin_tone:,"fist, left-facing fist, leftwards, medium skin tone, left-facing, fist:, medium, skin, tone"
:left-facing_fist_medium-dark_skin_tone:,"fist, left-facing fist, leftwards, medium-dark skin tone, left-facing, fist:, medium-dark, skin, tone"
:left-facing_fist_dark_skin_tone:,"dark skin tone, fist, left-facing fist, leftwards, left-facing, fist:, dark, skin, tone"
:right-facing_fist:,"fist, right-facing fist, rightwards, right-facing, fist"
:right-facing_fist_light_skin_tone:,"fist, light skin tone, right-facing fist, rightwards, right-facing, fist:, light, skin, tone"
:right-facing_fist_medium-light_skin_tone:,"fist, medium-light skin tone, right-facing fist, rightwards, right-facing, fist:, medium-light, skin, tone"
:right-facing_fist_medium_skin_tone:,"fist, medium skin tone, right-facing fist, rightwards, right-facing, fist:, medium, skin, tone"
:right-facing_fist_medium-dark_skin_tone:,"fist, medium-dark skin tone, right-facing fist, rightwards, right-facing, fist:, medium-dark, skin, tone"
:right-facing_fist_dark_skin_tone:,"dark skin tone, fist, right-facing fist, rightwards, right-facing, fist:, dark, skin, tone"
:clapping_hands:,"clap, clapping hands, hand, clapping, hands"
:clapping_hands_light_skin_tone:,"clap, clapping hands, hand, light skin tone, clapping, hands:, light, skin, tone"
:clapping_hands_medium-light_skin_tone:,"clap, clapping hands, hand, medium-light skin tone, clapping, hands:, medium-light, skin, tone"
:clapping_hands_medium_skin_tone:,"clap, clapping hands, hand, medium skin tone, clapping, hands:, medium, skin, tone"
:clapping_hands_medium-dark_skin_tone:,"clap, clapping hands, hand, medium-dark skin tone, clapping, hands:, medium-dark, skin, tone"
:clapping_hands_dark_skin_tone:,"clap, clapping hands, dark skin tone, hand, clapping, hands:, dark, skin, tone"
:raising_hands:,"celebration, gesture, hand, hooray, raised, raising hands, raising, hands"
:raising_hands_light_skin_tone:,"celebration, gesture, hand, hooray, light skin tone, raised, raising hands, raising, hands:, light, skin, tone"
:raising_hands_medium-light_skin_tone:,"celebration, gesture, hand, hooray, medium-light skin tone, raised, raising hands, raising, hands:, medium-light, skin, tone"
:raising_hands_medium_skin_tone:,"celebration, gesture, hand, hooray, medium skin tone, raised, raising hands, raising, hands:, medium, skin, tone"
:raising_hands_medium-dark_skin_tone:,"celebration, gesture, hand, hooray, medium-dark skin tone, raised, raising hands, raising, hands:, medium-dark, skin, tone"
:raising_hands_dark_skin_tone:,"celebration, dark skin tone, gesture, hand, hooray, raised, raising hands, raising, hands:, dark, skin, tone"
:heart_hands:,"heart hands, love, heart, hands"
:heart_hands_light_skin_tone:,"heart hands, light skin tone, love, heart, hands:, light, skin, tone"
:heart_hands_medium-light_skin_tone:,"heart hands, love, medium-light skin tone, heart, hands:, medium-light, skin, tone"
:heart_hands_medium_skin_tone:,"heart hands, love, medium skin tone, heart, hands:, medium, skin, tone"
:heart_hands_medium-dark_skin_tone:,"heart hands, love, medium-dark skin tone, heart, hands:, medium-dark, skin, tone"
:heart_hands_dark_skin_tone:,"dark skin tone, heart hands, love, heart, hands:, dark, skin, tone"
:open_hands:,"hand, open, open hands, open, hands"
:open_hands_light_skin_tone:,"hand, light skin tone, open, open hands, open, hands:, light, skin, tone"
:open_hands_medium-light_skin_tone:,"hand, medium-light skin tone, open, open hands, open, hands:, medium-light, skin, tone"
:open_hands_medium_skin_tone:,"hand, medium skin tone, open, open hands, open, hands:, medium, skin, tone"
:open_hands_medium-dark_skin_tone:,"hand, medium-dark skin tone, open, open hands, open, hands:, medium-dark, skin, tone"
:open_hands_dark_skin_tone:,"dark skin tone, hand, open, open hands, open, hands:, dark, skin, tone"
:palms_up_together:,"palms up together, prayer, palms, up, together"
:palms_up_together_light_skin_tone:,"light skin tone, palms up together, prayer, palms, up, together:, light, skin, tone"
:palms_up_together_medium-light_skin_tone:,"medium-light skin tone, palms up together, prayer, palms, up, together:, medium-light, skin, tone"
:palms_up_together_medium_skin_tone:,"medium skin tone, palms up together, prayer, palms, up, together:, medium, skin, tone"
:palms_up_together_medium-dark_skin_tone:,"medium-dark skin tone, palms up together, prayer, palms, up, together:, medium-dark, skin, tone"
:palms_up_together_dark_skin_tone:,"dark skin tone, palms up together, prayer, palms, up, together:, dark, skin, tone"
:handshake:,"agreement, hand, handshake, meeting, shake, handshake"
